time_range,wpm,pitch_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
120.00-125.00,4985.380116959064,1103.6123,-287.8934020996094,80.54901123046875,21.23582649230957,16.929927825927734,-11.952690124511719,-12.692572593688965,-15.108118057250977,6.872713088989258,-13.152348518371582,-8.190289497375488,-10.090423583984375,-7.258981704711914,2.6254191398620605
125.00-130.00,4312.816188870152,1137.2622,-232.84390258789062,75.57504272460938,16.109025955200195,16.09215545654297,-25.548921585083008,-15.955726623535156,-16.282440185546875,0.5900219082832336,-14.693665504455566,-8.875905990600586,-12.76224422454834,-6.717858791351318,0.4053581953048706
130.00-135.00,4692.660550458715,890.7773,-278.9242248535156,96.11212921142578,21.330646514892578,14.404800415039062,-28.988048553466797,-11.506192207336426,-9.4652681350708,-1.0809210538864136,-14.271223068237305,-9.929205894470215,-10.283336639404297,-5.0846710205078125,-1.2281339168548584
135.00-140.00,6017.64705882353,983.7362,-318.9141845703125,91.16468811035156,16.103618621826172,20.43862533569336,-17.356212615966797,-7.103643894195557,-8.990013122558594,5.882164478302002,-7.006621360778809,-8.624269485473633,-10.32750415802002,-2.4080395698547363,-3.2795729637145996
140.00-145.00,4342.105263157895,1245.2673,-247.36082458496094,83.38510131835938,16.745038986206055,11.636127471923828,-31.014728546142578,-13.987430572509766,-12.714783668518066,-0.07764993607997894,-8.248416900634766,-12.53906536102295,-11.234466552734375,-3.484752893447876,-3.3722496032714844
145.00-150.00,4320.101351351352,1054.2603,-255.90455627441406,78.54291534423828,11.938471794128418,19.436063766479492,-23.71531867980957,-20.618091583251953,-11.55172348022461,6.399738311767578,-14.860662460327148,-9.851333618164062,-10.741972923278809,-5.973862171173096,0.27212777733802795
150.00-155.00,5240.77868852459,933.2362,-281.6947021484375,88.7559814453125,13.960912704467773,13.607831954956055,-24.06081199645996,-18.02031898498535,-6.61658239364624,4.288846015930176,-11.83753776550293,-8.80950927734375,-8.542731285095215,-4.3051228523254395,-3.7151834964752197
155.00-160.00,4591.561938958707,1232.1802,-250.69583129882812,61.227108001708984,16.186986923217773,25.54676055908203,-25.397119522094727,-18.89495277404785,-14.711870193481445,7.626436710357666,-14.020946502685547,-10.727616310119629,-7.674229145050049,-8.525568962097168,-2.3336997032165527
160.00-165.00,4624.773960216998,967.0864,-270.4171447753906,77.95439910888672,20.56756019592285,13.350482940673828,-16.186206817626953,-17.39789390563965,-12.46397876739502,9.886427879333496,-16.076404571533203,-9.098993301391602,-6.664766311645508,-7.996273994445801,5.4547741456190124e-05
165.00-170.00,5747.191011235955,939.5087,-305.4682922363281,83.51844024658203,17.507741928100586,15.127357482910156,-15.580737113952637,-8.429718971252441,-9.840506553649902,6.003859043121338,-11.401246070861816,-8.704453468322754,-8.176513671875,-8.98194408416748,0.8465209007263184
170.00-175.00,4494.727592267136,1248.955,-265.72894287109375,86.50751495361328,16.402305603027344,12.138344764709473,-24.98416519165039,-13.372114181518555,-13.047521591186523,2.332381248474121,-13.105121612548828,-11.523151397705078,-8.245150566101074,-9.591507911682129,5.602748394012451
175.00-180.00,4946.808510638298,903.7102,-285.5765380859375,85.15424346923828,21.32939338684082,9.19740104675293,-12.096990585327148,-14.122438430786133,-13.316880226135254,9.576507568359375,-12.453392028808594,-10.728259086608887,-9.726140022277832,-9.784643173217773,2.136342763900757
180.00-185.00,5034.4488188976375,879.93756,-291.8077392578125,81.85100555419922,20.59234619140625,15.146225929260254,-13.270857810974121,-11.963090896606445,-11.34560489654541,8.150124549865723,-14.154013633728027,-8.53890323638916,-7.155334949493408,-9.806181907653809,0.07371141761541367
185.00-186.05,19522.90076335878,445.0831,-476.4367980957031,100.4059066772461,24.862125396728516,26.351470947265625,11.323562622070312,12.210565567016602,3.919189929962158,4.116543292999268,-2.2676985263824463,0.903301477432251,-7.4945831298828125,-3.4364752769470215,-4.41028356552124
